manga_id,reading,completed,on_hold,dropped,plan_to_read,total
1208,2047,1735,776,345,3035,7938
769,8542,2587,1852,1068,3221,17270
23571,1642,3084,520,173,11019,16438
108566,3309,199,342,177,3351,7378
56755,6357,426,1060,497,11253,19593
7776,14648,790,2462,946,8131,26977
775,1323,3943,502,416,1426,7610
1802,1905,16717,745,674,11653,31694
585,4502,7323,1578,779,12802,26984
17904,11266,8142,3036,1089,13848,37381
138533,4775,308,347,89,1557,7076
3009,22273,135371,5054,2268,21145,186111
19594,2001,3583,395,189,2339,8507
81117,72117,112903,12151,9295,50085,256551
7149,4312,7657,1365,696,11383,25413
158,1993,5223,791,399,6163,14569
445,3480,5490,1432,553,8318,19273
147171,5731,353,398,178,1568,8228
4571,31075,2238,6819,3149,22248,65529
112115,10404,9771,2245,3233,19388,45041
26736,14189,40654,2927,2234,28138,88142
133641,13264,716,973,400,4091,19444
3731,6991,48811,1743,781,42554,100880
121781,705,2744,97,133,1494,5173
130832,9777,544,1300,686,4337,16644
112589,44166,2595,4772,2868,19721,74122
99007,139563,8153,15442,10739,57270,231167
14531,4170,9360,1182,412,7078,22202
119022,34815,778,1983,1262,10889,49727
348,6586,9831,2721,1389,16830,37357
26144,3224,8013,895,373,10072,22577
58027,11803,20355,2006,1119,18326,53609
1461,2592,8203,1016,571,17927,30309
62547,5152,7560,903,790,9515,23920
91514,12430,22513,1999,1442,14169,52553
70801,15192,4546,3083,933,32586,56340
24705,13037,73180,3112,2910,45912,138151
15805,7687,17896,1574,843,16053,44053
103989,769,8605,147,61,4700,14282
510,1274,2933,683,264,2722,7876
1315,1614,388,733,232,6789,9756
56743,11980,1494,1759,991,10525,26749
45855,2971,2328,615,301,8100,14315
373,2757,5321,1186,670,8926,18860
27231,12579,48098,2348,2019,23410,88454
34127,11104,3100,1808,1177,11025,28214
112370,1047,2311,228,168,2133,5887
45947,5589,223,816,483,3083,10194
108495,953,1529,201,79,7190,9952
1982,892,1221,278,175,1608,4174
84255,6240,9933,1127,426,10432,28158
9982,4347,2271,970,533,13788,21909
77637,5809,9475,991,730,12716,29721
103897,84020,31793,13742,7742,30188,167485
9738,729,4172,267,110,3622,8900
1075,3812,2857,1105,799,11683,20256
10865,211,2528,62,39,2386,5226
119282,241,1075,53,32,1527,2928
915,2563,5083,786,379,10560,19371
2924,7485,463,1670,512,11549,21679
3715,5043,6732,1114,912,7017,20818
8070,2616,4252,568,318,7686,15440
375,5421,6083,1887,919,9347,23657
104491,452,6017,81,164,3547,10261
112694,3781,192,614,273,1851,6711
135496,46766,857,3160,1396,28710,80889
5651,2919,7199,867,488,11719,23192
53,7830,30141,3870,1918,18394,62153
25409,10957,6114,2214,1646,10736,31667
45885,256,1246,51,42,2872,4467
1695,1423,5796,618,306,11567,19710
30315,20836,45135,4055,2797,22590,95413
58563,5398,12388,1348,705,25814,45653
705,4687,16843,1313,645,13930,37418
124470,1032,183,156,84,1309,2764
46010,4558,1634,1200,261,4726,12379
17552,3403,961,757,285,5279,10685
11850,2620,3146,480,283,3115,9644
137303,2056,47,137,29,2655,4924
1199,7918,6928,1808,1195,3504,21353
92,9735,22102,4321,2130,11101,49389
100128,93102,108049,16536,10445,55822,283954
8144,7730,19158,1598,1367,12100,41953
704,2926,8682,1648,692,9026,22974
106602,856,1539,178,74,2539,5186
1101,7354,21256,2607,2159,26741,60117
75989,292257,15896,30323,20399,44200,403075
36131,5450,312,576,221,2390,8949
96573,3222,10404,742,566,10731,25665
929,2582,3838,1279,637,3665,12001
1110,3306,7660,1066,675,5182,17889
43913,3141,10728,632,502,10041,25044
